id,x,y,h,dom_radius,surface,volume,crown_wkt
21,379953.88,6573597.31,26.02,11.00,519.0,11956.4,"POLYGON((379971.9 6573590.4,379971.7 6573592.8,379971.0 6573595.0,379969.9 6573597.1,379968.5 6573598.9,379966.7 6573600.4,379964.6 6573601.5,379962.4 6573602.2,379960.1 6573602.4,379957.8 6573602.2,379955.6 6573601.5,379953.6 6573600.4,379951.8 6573598.9,379950.4 6573597.1,379949.3 6573595.0,379948.6 6573592.8,379948.4 6573590.4,379948.6 6573588.1,379949.3 6573585.8,379950.4 6573583.8,379951.8 6573582.0,379953.6 6573580.5,379955.6 6573579.4,379957.8 6573578.7,379960.1 6573578.5,379962.4 6573578.7,379964.6 6573579.4,379966.7 6573580.5,379968.5 6573582.0,379969.9 6573583.8,379971.0 6573585.8,379971.7 6573588.1,379971.9 6573590.4))"
22,380187.88,6573597.31,22.93,11.00,133.0,3009.8,"POLYGON((380196.1 6573596.4,380196.0 6573597.7,380195.7 6573599.1,380195.2 6573600.3,380194.5 6573601.4,380193.7 6573602.2,380192.8 6573602.9,380191.8 6573603.3,380190.7 6573603.4,380189.7 6573603.3,380188.7 6573602.9,380187.8 6573602.2,380186.9 6573601.4,380186.3 6573600.3,380185.8 6573599.1,380185.5 6573597.7,380185.4 6573596.4,380185.5 6573595.0,380185.8 6573593.7,380186.3 6573592.4,380186.9 6573591.4,380187.8 6573590.5,380188.7 6573589.8,380189.7 6573589.4,380190.7 6573589.3,380191.8 6573589.4,380192.8 6573589.8,380193.7 6573590.5,380194.5 6573591.4,380195.2 6573592.4,380195.7 6573593.7,380196.0 6573595.0,380196.1 6573596.4))"
23,380162.88,6573596.31,30.09,11.00,646.0,14319.9,"POLYGON((380174.0 6573596.2,380173.7 6573597.9,380173.0 6573599.6,380171.8 6573601.1,380170.2 6573602.4,380168.2 6573603.5,380166.0 6573604.3,380163.5 6573604.8,380161.0 6573605.0,380158.5 6573604.8,380156.0 6573604.3,380153.8 6573603.5,380151.8 6573602.4,380150.2 6573601.1,380149.0 6573599.6,380148.3 6573597.9,380148.0 6573596.2,380148.3 6573594.5,380149.0 6573592.9,380150.2 6573591.4,380151.8 6573590.1,380153.8 6573589.0,380156.0 6573588.2,380158.5 6573587.7,380161.0 6573587.5,380163.5 6573587.7,380166.0 6573588.2,380168.2 6573589.0,380170.2 6573590.1,380171.8 6573591.4,380173.0 6573592.9,380173.7 6573594.5,380174.0 6573596.2))"
24,380061.88,6573593.31,25.03,11.00,90.0,2063.2,"POLYGON((380063.5 6573592.0,380063.5 6573592.9,380063.2 6573593.7,380062.9 6573594.4,380062.4 6573595.1,380061.9 6573595.6,380061.2 6573596.0,380060.5 6573596.2,380059.8 6573596.3,380059.0 6573596.2,380058.3 6573596.0,380057.7 6573595.6,380057.1 6573595.1,380056.7 6573594.4,380056.3 6573593.7,380056.1 6573592.9,380056.0 6573592.0,380056.1 6573591.2,380056.3 6573590.4,380056.7 6573589.7,380057.1 6573589.0,380057.7 6573588.5,380058.3 6573588.1,380059.0 6573587.8,380059.8 6573587.8,380060.5 6573587.8,380061.2 6573588.1,380061.9 6573588.5,380062.4 6573589.0,380062.9 6573589.7,380063.2 6573590.4,380063.5 6573591.2,380063.5 6573592.0))"
25,380523.88,6573593.31,21.63,11.00,805.0,13740.9,"POLYGON((380560.3 6573589.8,380559.9 6573592.2,380558.7 6573594.5,380556.8 6573596.6,380554.3 6573598.5,380551.2 6573600.0,380547.7 6573601.1,380543.9 6573601.8,380539.9 6573602.0,380536.0 6573601.8,380532.1 6573601.1,380528.6 6573600.0,380525.5 6573598.5,380523.0 6573596.6,380521.1 6573594.5,380520.0 6573592.2,380519.6 6573589.8,380520.0 6573587.4,380521.1 6573585.2,380523.0 6573583.0,380525.5 6573581.2,380528.6 6573579.7,380532.1 6573578.5,380536.0 6573577.9,380539.9 6573577.6,380543.9 6573577.9,380547.7 6573578.5,380551.2 6573579.7,380554.3 6573581.2,380556.8 6573583.0,380558.7 6573585.2,380559.9 6573587.4,380560.3 6573589.8))"
26,380594.88,6573592.31,20.16,11.00,277.0,4507.5,"POLYGON((380615.1 6573595.4,380614.9 6573596.3,380614.1 6573597.1,380613.0 6573597.9,380611.3 6573598.6,380609.4 6573599.2,380607.1 6573599.6,380604.7 6573599.9,380602.2 6573600.0,380599.7 6573599.9,380597.2 6573599.6,380595.0 6573599.2,380593.0 6573598.6,380591.4 6573597.9,380590.2 6573597.1,380589.5 6573596.3,380589.2 6573595.4,380589.5 6573594.5,380590.2 6573593.6,380591.4 6573592.9,380593.0 6573592.2,380595.0 6573591.6,380597.2 6573591.2,380599.7 6573590.9,380602.2 6573590.8,380604.7 6573590.9,380607.1 6573591.2,380609.4 6573591.6,380611.3 6573592.2,380613.0 6573592.9,380614.1 6573593.6,380614.9 6573594.5,380615.1 6573595.4))"
27,380825.88,6573592.31,13.01,11.00,209.0,2367.2,"POLYGON((380837.0 6573579.5,380836.9 6573581.9,380836.6 6573584.2,380836.3 6573586.4,380835.8 6573588.2,380835.2 6573589.8,380834.5 6573590.9,380833.7 6573591.6,380832.9 6573591.9,380832.1 6573591.6,380831.4 6573590.9,380830.7 6573589.8,380830.1 6573588.2,380829.6 6573586.4,380829.2 6573584.2,380829.0 6573581.9,380828.9 6573579.5,380829.0 6573577.0,380829.2 6573574.7,380829.6 6573572.6,380830.1 6573570.7,380830.7 6573569.2,380831.4 6573568.0,380832.1 6573567.3,380832.9 6573567.1,380833.7 6573567.3,380834.5 6573568.0,380835.2 6573569.2,380835.8 6573570.7,380836.3 6573572.6,380836.6 6573574.7,380836.9 6573577.0,380837.0 6573579.5))"
28,379838.88,6573591.31,30.23,11.00,723.0,17218.5,"POLYGON((379868.3 6573594.2,379868.0 6573596.3,379867.1 6573598.3,379865.8 6573600.2,379863.9 6573601.8,379861.7 6573603.1,379859.1 6573604.1,379856.3 6573604.7,379853.4 6573604.9,379850.5 6573604.7,379847.7 6573604.1,379845.1 6573603.1,379842.9 6573601.8,379841.0 6573600.2,379839.7 6573598.3,379838.8 6573596.3,379838.5 6573594.2,379838.8 6573592.1,379839.7 6573590.1,379841.0 6573588.3,379842.9 6573586.6,379845.1 6573585.3,379847.7 6573584.3,379850.5 6573583.7,379853.4 6573583.5,379856.3 6573583.7,379859.1 6573584.3,379861.7 6573585.3,379863.9 6573586.6,379865.8 6573588.3,379867.1 6573590.1,379868.0 6573592.1,379868.3 6573594.2))"
29,380563.88,6573589.31,17.76,11.00,115.0,1801.4,"POLYGON((380573.1 6573590.7,380573.0 6573591.5,380572.7 6573592.3,380572.2 6573593.0,380571.4 6573593.6,380570.6 6573594.1,380569.6 6573594.5,380568.5 6573594.7,380567.3 6573594.8,380566.2 6573594.7,380565.1 6573594.5,380564.1 6573594.1,380563.2 6573593.6,380562.5 6573593.0,380562.0 6573592.3,380561.6 6573591.5,380561.5 6573590.7,380561.6 6573589.9,380562.0 6573589.2,380562.5 6573588.4,380563.2 6573587.8,380564.1 6573587.3,380565.1 6573586.9,380566.2 6573586.7,380567.3 6573586.6,380568.5 6573586.7,380569.6 6573586.9,380570.6 6573587.3,380571.4 6573587.8,380572.2 6573588.4,380572.7 6573589.2,380573.0 6573589.9,380573.1 6573590.7))"
30,380363.88,6573586.31,20.95,11.00,608.0,10718.2,"POLYGON((380385.9 6573590.4,380385.6 6573592.9,380384.9 6573595.3,380383.7 6573597.6,380382.1 6573599.5,380380.1 6573601.1,380377.8 6573602.3,380375.4 6573603.0,380372.8 6573603.3,380370.3 6573603.0,380367.9 6573602.3,380365.6 6573601.1,380363.6 6573599.5,380362.0 6573597.6,380360.8 6573595.3,380360.1 6573592.9,380359.8 6573590.4,380360.1 6573587.9,380360.8 6573585.4,380362.0 6573583.2,380363.6 6573581.3,380365.6 6573579.6,380367.9 6573578.5,380370.3 6573577.7,380372.8 6573577.5,380375.4 6573577.7,380377.8 6573578.5,380380.1 6573579.6,380382.1 6573581.3,380383.7 6573583.2,380384.9 6573585.4,380385.6 6573587.9,380385.9 6573590.4))"
